এই	ɛ i
ৰস	ɹ ɔ x
মোৰ	m ʊ ɹ
বৰণ	b ɔ ɹ ɔ n
গোসাঁই	ɡ ʊ x ã i
বাধা	b a dʱ a
খেলনা	kʰ ɛ l n a
হিচাপ	ɦ i s a p
মুঠ	m u tʰ
ইয়াত	i a t
কথা	k ɔ tʰ a
ডাঙৰ	d a ŋ ɔ ɹ
বজাৰ	b ɔ z a ɹ
সলনি	x ɔ l ɔ n i
কোৱা	k ʊ a
বাহিৰ	b a ɦ i ɹ
শিয়াল	x i a l
সকলো	x ɔ k ɔ l ʊ
বাহ	b aʱ
পৰিয়াল	p ɔ ɹ i a l
কণী	k ɔ n i
যেনে	z ɛ n ɛ
তেতিয়া	t ɛ t i a
ৰজা	ɹ ɔ z a
অহা	ɔ ɦ a
নিজা	n i z a
এটি	ɛ t i
পুৰুষ	p u ɹ u x
লগা	l ɔ ɡ a
পুখুৰী	p u kʰ u ɹ i
বিছনা	b i s ɔ n a
বাগান	b a ɡ a n
গাঁও	ɡ ã ʊ
খেলুৱৈ	kʰ ɛ l u o ɪ
বিয়া	b i a
আইন	a ɪ n
তথাপি	t ɔ tʰ a p i
কিছু	k i s u
সৰু	x ɔ ɹ u
দিয়া	d i a
ভাৰত	bʱ a ɹ ɔ t
গোৱা	ɡ ʊ a
মাজেদি	m a z ɛ d i
যোৱা	z ʊ a
নিজ	n i z
ৰখা	ɹ ɔ kʰ a
পাতল	p a t ɔ l
গুৰি	ɡ u ɹ i
দিন	d i n
বোলা	b ʊ l a
জঁকা	z ɔ̃ k a
কিন্তু	k i n t u
বেলেগ	b ɛ l ɛ ɡ
নদী	n ɔ d i
কুমাৰ	k u m a ɹ
বাঁহ	b ãʱ
বাকলি	b a k ɔ l i
বছৰেকীয়া	b ɔ s ɔ ɹ ɛ k i a
জনা	z ɔ n a
কিছুমান	k i s u m a n
ইগ্লো	i ɡ l ʊ
পৰম্পৰা	p ɔ ɹ ɔ m p ɔ ɹ a
গজালি	ɡ ɔ z a l i
পিঠা	p i tʰ a
মুকলি	m u k o l i
নাট	n a t
ভালপোৱা	bʱ a l p ʊ a
পুথি	p u tʰ i
টকা	t ɔ k a
প্ৰাচীন	p ɹ a s i n
যোগান	z ʊ ɡ a n
সময়	x ɔ m ɔ ɛ
কেন্দ্ৰ	k ɛ n d ɹ ɔ
বেছি	b ɛ s i
তাই	t a ɪ
বজোৱা	b ɔ z ʊ a
তাত	t a t
চৰিত্ৰ	s ɔ ɹ i t ɹ ɔ
কি	k i
শক্তিশালী	x ɔ k t i x a l i
কাকত	k a k ɔ t
পতা	p ɔ t a
আগেয়ে	a ɡ ɛ ɛ
একো	ɛ k ʊ
মাথোঁ	m a tʰ ʊ̃
গাই	ɡ a ɪ
সোণৰ	x ʊ n ɔ ɹ
উদ	u d
ভাওনা	bʱ a ʊ n a
নহয়	n ɔ ɦ ɔ ɛ
উপন্যাস	u p ɔ ɪ n n a x
আগত	a ɡ ɔ t
আধিপত্য	a dʱ i p ɔ ɪ t t ɔ
ভাগ	bʱ a ɡ
বিহু	b i ɦ u
আজি	a z i
ব্যাখ্যা	b a ɪ k kʰ a
হিলৈ	ɦ i l o ɪ
ৰঙা	ɹ ɔ ŋ a
বমি	b ɔ m i
তেনে	t ɛ n ɛ
বল	b ɔ l
কুকুৰা	k u k u ɹ a
পোন্ধৰ	p ʊ n dʱ ɒ ɹ ɒ
সন্মান	x ɔ n m a n
চেনি	s e n i
যিমান	z i m a n
হাতী	ɦ a t i
আই	a ɪ
পলম	p ɔ l ɔ m
চুটি	s u t i
ইতৰ	i t ɔ ɹ
শুনা	x u n a
দৈনিক	d o ɪ n i k
কিতাপ	k i t a p
চিন্তা	s i n t a
এঙাৰ	ɛ ŋ a ɹ
মানে	m a n ɛ
আছে	a s ɛ
তবলা	t ɔ b ɔ l a
অবৈধ	ɔ b ɔ ɪ d ɦ ɔ
ডলা	d ɔ l a
ধঁপাত	dʱ ɔ̃ p a t
ঠাই	tʰ a ɪ
সাঙোৰ	x a ŋ ʊ ɹ
চৰকাৰ	s ɔ ɹ k a ɹ
সিজোৱা	x i z ʊ a
টুকুৰা	t u k u ɹ a
অকল	ɔ k ɔ l
ভাৰতীয়	bʱ a ɹ ɔ t i ɔ
কবি	k ɔ b i
পুৰণি	p u ɹ ɔ n i
ওখ	ʊ kʰ ɒ
সেৱা	x ɛ w a
সবাতোকৈ	x ɔ b a t ʊ k o ɪ
মাটি	m a t i
যেতিয়া	z ɛ t i a
কোটি	k ʊ t i
য’ত	z o t
সাপ	x a p
তিনি	t i n i
অনা	ɔ n a
আমাৰ	a m a ɹ
আগ	a ɡ
বাহিৰে	b a ɦ i ɹ ɛ
ধাতু	dʱ a t u
মৈ	m o ɪ
কলম	k ɔ l ɔ m
আমি	a m i
শুকান	x u k a n
মণি	m ɔ n i
জাঁপ	z ã p
ৰন্ধা	ɹ ɔ n dʱ a
বানান	b a n a n
জুই	z u i
বহল	b ɔ ɦ ɔ l
চন	s ɔ n
এশ	ɛ x ɔ
হালধীয়া	ɦ a l ɔ dʱ i a
কুৰুৱা	k u ɹ u a
ভেটি	bʱ ɛ t i
পানী	p a n i
শকত	x ɔ k ɔ t
সঁচা	x ɔ̃ s a
পোন	p ʊ n
ভঙা	bʱ ɔ ŋ a
অলপ	ɔ l ɔ p
আঁত	ã t
হাজাৰ	ɦ a z a ɹ
সাত	x a t
তিতা	t i t a
চাৰি	s a ɹ i
ভিতৰুৱা	bʱ i t ɔ ɹ u a
একে	ɛ k ɛ
সপোন	x ɔ p ʊ n
ডাল	d a l
সদৰ	x ɔ d ɔ ɹ
ভগা	bʱ ɔ ɡ a
নগৰ	n ɔ ɡ ɔ ɹ
কিবা	k i b a
আটাইতকৈ	a t a ɪ t k o ɪ
ভাদ	bʱ a d ɔ
ডাঠ	d a tʰ
ইটানগৰ	i t a n ɔ ɡ ɔ ɹ
চেহেৰা	s ɛ ɦ ɛ ɹ a
সোণালী	x ʊ n a l i
গোমধান	ɡ ʊ m dʱ a n
ওলোমোৱা	ʊ l ʊ m ʊ a
ৰাণী	ɹ a n i
মেৰামতি	m ɛ ɹ a m ɔ t i
মচলা	m ɔ s ɔ l a
মান	m a n
বিলাই	b i l a ɪ
জাল	z a l
অভ্যাস	ɔ ɪ b bʱ a x
দলং	d ɔ l ɔ ŋ
অইন	ɔ ɪ n
মাণিক	m a n i k
চোৰাং	s ʊ ɹ a ŋ
ছয়	s ɔ j
বতাহ	b ɔ t aʱ
ভবা	bʱ ɔ b a
জালুক	z a l u k
অমিয়	ɔ m i ɔ
কুকুৰ	k u k u ɹ
পোতা	p ʊ t a
কাঁটা	k ã t a
ঘৰ	ɡʱ ɔ ɹ
অনুবাদ	ɔ n u b a d
নৈ	n o ɪ
ঐতিহ্য	ɔ i t i d ʑ ɔ
বাতৰি	b a t ɔ ɹ i
আৰ্হি	a ɹ ɦ i
গৰাকী	ɡ ɔ ɹ a k i
উশাহ	u x aʱ
উলিওৱা	u l i ʊ a
ইমান	i m a n
সানা	x a n a
গোট	ɡ ʊ t
উঁই	ũ i
কলি	k ɔ l i
মাছ	m a s
কেনেকুৱা	k ɛ n ɛ k u a
দা	d aː
চমুকৈ	s ɔ m u k o ɪ
সাজ	x a z
ঢাকা	dʱ a k a
মিছা	m i s a
গধূলি	ɡ ɔ dʱ u l i
পালি	p a l i
ভগোৱা	bʱ ɔ ɡ ʊ a
তাপ	t a p
তাইক	t a ɪ k
মৰা	m ɔ ɹ a
কেনেবাকৈ	k ɛ n ɛ b a k o ɪ
নে	n ɛ
ঘাই	ɡʱ a ɪ
সি	x i
নিযুত	n i z u t
ওস্তাদ	ʊ s t a d
তুমি	t u m i
যাদু	z a d u
তুলি	t u l i
সোণ	x ʊ n
ভাত	bʱ a t
আঁচনি	ã s ɔ n i
নামনি	n a m ɔ n i
ভাট	bʱ a t
ছোৱালী	s ʊ a l i
চাম	s a m
চিৰা	s i ɹ a
গল	ɡ ɔ l
ডেকা	d ɛ k a
শাহ	x aʱ
মৌচুমী	m o ʊ s u m i
সোনকালে	x ʊ n k a l ɛ
ওলোৱা	ʊ l ʊ a
পাচলি	p a s ɔ l i
পাঁচ	p ã s
জল	z ɔ l
সকলোতকৈ	x ɔ k ɔ l ʊ t k o ɪ
গৰম	ɡ ɔ ɹ ɔ m
হাড়	ɦ a ɹ
ভৰা	bʱ ɔ ɹ a
মাৰি	m a ɹ i
জলবায়ু	z ɔ l ɔ b a j u
পাহি	p a ɦ i
কৰোৱা	k ɔ ɹ ʊ a
সেইটো	x ɛ i t ʊ
বস্তু	b ɔ s t u
চোৱা	s ʊ a
মাজেৰে	m a z ɛ ɹ ɛ
ঠোঁট	tʰ ʊ̃ t
জাতি	z a t i
বৰা	b ɔ ɹ a
মিহলি	m i ɦ ɔ l i
আচহুৱা	a s ɔ ɦ u a
সিহঁত	x i ɦ ɔ̃ t
পাট	p a t
মোমাই	m ʊ m a ɪ
ভৰি	bʱ o ɹ i
নাও	n a ʊ
ভূত	bʱ u t
আঠ	a tʰ
কৰ	k ɔ ɹ
তাইৰ	t a ɪ ɹ
উঘাল	u ɡʱ a l
ফলা	pʰ ɔ l a
লেলাউটি	l ɛ l a u t i
ফৰাচী	f ɔ ɹ a s i
কেঁচা	k ẽ s a
বাঁহী	b ã ɦ i
চিকাৰ	s i k a ɹ
এতিয়া	ɛ t i a
বাগিচা	b a ɡ i s a
ভাগৰ	bʱ a ɡ ɔ ɹ
ৰং	ɹ ɔ ŋ
বাচন	b a s ɔ n
সজা	x ɔ z a
পঠিওৱা	p ɔ tʰ i ʊ a
মেলা	m ɛ l a
গধুৰ	ɡ ɔ dʱ u ɹ
সিমান	x i m a n
পেলোৱা	p ɛ l ʊ a
ভিতৰ	bʱ i t ɔ ɹ
বৰ	b ɔ ɹ
কলিকতা	k ɔ l i k ɔ t a
আতৰ	a t ɔ ɹ
বাকী	b a k i
দাঁত	d ã t
লিপি	l i p i
ফেন	pʰ ɛ n
বতৰ	b ɔ t ɔ ɹ
বোজা	b ʊ z a
বহা	b ɔ ɦ a
পাগ	p a ɡ
বিষ	b i x
দহ	d ɔ ɦ
চাপৰ	s a p ɔ ɹ
বগা	b ɔ ɡ a
নিজে	n i z ɛ
চকী	s ɔ k i
ওজন	ʊ z ɔ n
ওঠৰ	ʊ tʰ ɔ ɹ ɔ
পৈণত	p o ɪ n ɔ t
সৰিয়হ	x ɔ ɹ i ɔʱ
ছাই	s a ɪ
মাহ	m aʱ
শাল	x a l
বেয়া	b ɛ a
কাৱৈ	k a o ɪ
টোপোলা	t ʊ p ʊ l a
শিল	x i l
মানা	m a n a
মাও	m a ʊ
পাহাৰ	p a ɦ a ɹ
মৈলাম	m o ɪ l a m
ওকালতি	ʊ k a l ɔ t i
গাড়ী	ɡ a ɹ i
গুড়ি	ɡ u ɹ i
শৰালি	x ɔ ɹ a l i
পাক	p a k
শোৱা	x ʊ a
বিনা	b i n a
কাঠ	k a tʰ
চোঁৱৰ	s ʊ̃ ɔ ɹ
বাসিন্দা	b a x i n d a
ওলোটা	ʊ l ʊ t a
ল'ৰা	l o ɹ a
দাম	d a m
বনোৱা	b ɔ n ʊ a
শাৰী	x a ɹ i
তোলা	t ʊ l a
কিমান	k i m a n
কটা	k ɔ t a
কানি	k a n i
গিৰি	ɡ i ɹ i
আয়	a j
পকা	p ɔ k a
মূৰ	m u ɹ
ছাল	s a l
কেনেকৈ	k ɛ n ɛ k o ɪ
হাবি	ɦ a b i
বেমাৰ	b ɛ m a ɹ
তিল	t i l
বাম	b a m
খানচামা	kʰ a n s a m a
ৰোৱা	ɹ ʊ a
কুঠাৰ	k u tʰ a ɹ
ঘটা	ɡʱ ɔ t a
আল	a l
লতা	l ɔ t a
বাহিৰা	b a ɦ i ɹ a
বতৰা	b ɔ t ɔ ɹ a
মৌ	m o ʊ
ঘনত্ব	ɡʱ ɔ n ɔ t t ɔ
আলু	a l u
পেঁপা	p ẽ p a
খাল	kʰ a l
কাগজ	k a ɡ ɔ z
সমান	x m a n
দৰা	d ɔ ɹ a
বোৱা	b ʊ a
পুৱা	p u a
ছিটা	s i t a
অংগ	ɔ ŋ ɡ ɔ
হাজৰিকা	ɦ a z o ɹ i k a
কাকতি	k a k ɔ t i
তৰোৱাল	t ɔ ɹ ʊ a l
ৰিহা	ɹ i ɦ a
বিছা	b i s a
ওপৰ	ʊ p ɔ ɹ
বন্ধা	b ɔ n dʱ a
উট	u t
চিনাকি	s i n a k i
ৰাতিপুৱা	ɹ a t i p u a
বাৰিষা	b a ɹ i x a
সজোৱা	x ɔ z ʊ a
আলি	a l i
এৰা	ɛ ɹ a
উজনি	u z ɔ n i
আপোনাৰ	a p ʊ n a ɹ
আঁতৰ	ã t ɔ ɹ
শান্ত	x a n t ɔ
মধুমেহ	m ɔ dʱ u m ɛ ɦ
সন্ধিয়া	x ɔ n dʱ i a
বাহিৰত	b a ɦ i ɹ ɔ t
বালি	b a l i
বিচৰা	b i s ɔ ɹ a
লাজ	l a z
আঁঠু	ã tʰ u
মাকৈ	m a k o ɪ
বাওঁফালে	b a ʊ̃ pʰ a l ɛ
আইনা	a ɪ n a
ওচৰ	ʊ s ɔ ɹ
আপেল	a p ɛ l
শ্ৰদ্ধা	s ɹ ɔ d dʱ a
পৰ	p ɔ ɹ
দ্বীপ	d i p
বেংক	b ɛ ŋ k
খেৰ	kʰ ɛ ɹ
মনা	m ɔ n a
গামোচা	ɡ a m ʊ s a
চাৰিআলি	s a ɹ i a l i
একেলেথাৰিয়ে	ɛ k ɛ l ɛ tʰ a ɹ i ɛ
আঙুলি	a ŋ u l i
অশোক	ɔ x ʊ k
গা	ɡ aː
আফিং	a pʰ i ŋ
ফণী	pʰ o n i
ল’ৰা	l o ɹ a
গোটা	ɡ ʊ t a
চকুলো	s ɔ k u l ʊ
ৰ’দোৱা	ɹ o d ʊ a
উপত্যকা	u p ɔ ɪ t t ɔ k a
বানপানী	b a n p a n i
বাওঁ	b a ʊ̃
দমা	d ɔ m a
বিমানবন্দৰ	b i m a n b ɔ n d ɔ ɹ
মাইকী	m a ɪ k i
সাৰ	x a ɹ
আলহী	a l ɔ ɦ i
অভাৱ	ɔ bʱ a w
সেউজীয়া	x ɛ u z i a
গাভৰু	ɡ a bʱ ɔ ɹ u
আশী	a x i
ভৰোৱা	bʱ ɔ ɹ ʊ a
মাই	m a ɪ
ঠেক	tʰ ɛ k
সাগৰ	x a ɡ ɔ ɹ
মেটেকা	m ɛ t ɛ k a
চেপেটা	s ɛ p ɛ t a
খোলা	kʰ ʊ l a
হেঁচা	ɦ ẽ s a
থান	tʰ a n
নক্সা	n ɔ k s a
শৈশৱ	x o ɪ x ɔ w
বাহু	b a ɦ u
নাক	n a k
মাজু	m a z u
আঙঠি	a ŋ ɔ tʰ i
কৃষ্ণ	k ɹ i s n ɔ
সোৱাদ	x ʊ a d
জোনাকী	z ʊ n a k i
গহনা	ɡ ɔ ɦ ɔ n a
ককা	k ɔ k a
বৰষুণ	b ɔ ɹ ɔ x u n
জাংফাই	z a ŋ pʰ a ɪ
হাঁহ	ɦ ã ɦ
নিয়া	n i a
গেছ	ɡ ɛ s
খৰিকটীয়া	kʰ ɔ ɹ i k ɔ t i a
বেগ	b ɛ ɡ
ডিল	d i l
ওৰণি	ʊ ɹ ɔ n i
চৰাই	s ɔ ɹ a ɪ
সূতা	x u t a
ধোৱা	dʱ ʊ a
মতা	m ɔ t a
দোতোৰা	d ʊ t ʊ ɹ a
শুৱনি	x u ɔ n i
হুৰুম	ɦ u ɹ u m
সন্দেহ	x ɔ n d ɛʱ
শূন্য	x u i n n ɔ
শলা	x ɔ l a
বোৱাৰী	b ʊ a ɹ i
ইতিহাস	i t i ɦ a x
আদৰ	a d ɔ ɹ
ফুলবাৰী	pʰ u l b a ɹ i
শেৱালি	x ɛ w a l i
বিভেদ	b i bʱ ɛ d
অকলে	ɔ k ɔ l ɛ
লাগ	l a ɡ
লাউ	l a u
দবা	d ɔ b a
মঙহ	m ɔ ŋ ɔ ɦ
চকু	s ɔ k u
বিচাৰ	b i s a ɹ
বৰণীয়া	b ɔ ɹ ɔ n i a
তাঁত	t ã t
পুলি	p u l i
আদা	a d a
মুঠি	m u tʰ i
যুঁজ	z ũ z
কেনে	k ɛ n ɛ
মহাসাগৰ	m ɔ ɦ a x a ɡ ɔ ɹ
ধান	dʱ a n
জোন	z ʊ n
ভুৱা	bʱ u a
খুটি	kʰ u t i
বাঁহগাজ	b ãʱ ɡ a z
আঁক	ã k
ৰছী	ɹ ɔ s i
নম্বৰ	n ɔ m b ɔ ɹ
বিজুলী	b i z u l i
আধৰুৱা	a dʱ ɔ ɹ u a
অকলশৰীয়া	ɔ k ɔ l x ɔ ɹ i a
পাল	p a l
ফাঁকু	pʰ ã k u
খুড়া	kʰ u ɹ a
তৰা	t ɔ ɹ a
ফুৰা	pʰ u ɹ a
ভূঁইকঁপ	bʱ ũ i k ɔ̃ p
বন	b ɔ n
আখৈ	a kʰ o ɪ
এলেহুৱা	ɛ l ɛ ɦ u a
কণা	k ɔ n a
কাট	k a t
গুলি	ɡ u l i
শস্য	x ɔ ɪ s s ɒ
চোৰাংচোৱা	s ʊ ɹ a ŋ s ʊ a
পালেং	p a l ɛ ŋ
খেদা	kʰ ɛ d a
হিমালয়	ɦ i m a l ɔ j
গাহৰি	ɡ a ɦ o ɹ i
জিৰণি	z i ɹ ɔ n i
টিভি	t i bʱ i
বছৰি	b ɔ s ɔ ɹ i
সঁজুলি	x ɔ̃ z u l i
সৰা	x ɔ ɹ a
সুঁতি	x ũ t i
কুঁৱৰী	k ũ ɔ ɹ i
খৰ	kʰ ɔ ɹ
ফাট	pʰ a t
পোহৰ	p ʊ ɦ ɔ ɹ
মাত	m a t
ভকত	bʱ ɔ k ɔ t
তপত	t ɔ p ɔ t
জগোৱা	z ɔ ɡ ʊ a
ঘোঁৰা	ɡʱ ʊ̃ ɹ a
চলা	s ɔ l a
ঈশ্বৰ	i s s ɔ ɹ
এনেকৈ	ɛ n ɛ k o ɪ
চিনা	s i n a
ভূটীয়া	bʱ u t i a
চাবোন	s a b ʊ n
ডাক	d a k
ডেউকা	d ɛ u k a
সোপা	x ʊ p a
চাদৰ	s a d ɔ ɹ
ফটো	pʰ ɔ t ʊ
দলম’ৰা	d ɔ l m o ɹ a
মাৰ্বল	m a ɹ b ɔ l
টুপী	t u p i
তই	t ɔ ɪ
চমু	s ɔ m u
আপুনি	a p u n i
ব্ৰহ্মপুত্ৰ	b ɹ ɔ ɦ m ɔ p u t ɹ ɔ
ঠাল	tʰ a l
গুৰ	ɡ u ɹ
তামোল	t a m ʊ l
পুৰণা	p u ɹ ɔ n a
সোমোৱা	x ʊ m ʊ a
হজম	ɦ ɔ z ɔ m
ক’ৰবাত	k ó ɹ b a t
লাও	l a ʊ
কানাই	k a n a ɪ
নচা	n ɔ s a
ভালকৈ	bʱ a l k o ɪ
আঙঠা	a ŋ ɔ tʰ a
ধৰ	dʱ ɔ ɹ
দোলা	d ʊ l a
বাৰি	b a ɹ i
পছোৱা	p ɔ s ʊ a
জোক	z ʊ k
মাগুৰ	m a ɡ u ɹ
ভজা	bʱ ɔ z a
বটল	b ɔ t ɔ l
গোহাঁই	ɡ ʊ ɦ ã i
মাজ	m a z
ধুনীয়া	dʱ u n i a
ভোট	bʱ ʊ t
বোকা	b ʊ k a
বাইছ	b a ɪ s
বেজ	b ɛ z
জুতি	z u t i
ঢৌ	dʱ o ʊ
গুড়া	ɡ u ɹ a
পিন্ধা	p i n dʱ a
জামুক	z a m u k
বিনামূলীয়া	b i n a m u l i a
জোঁৱাই	z ʊ̃ a ɪ
মালিকানা	m a l i k a n a
এন্ধাৰ	ɛ n dʱ a ɹ
কাণ	k a n
মোত	m ʊ t
তাল	t a l
চান	s a n
একাডেমি	ɛ k a d ɛ m i
মটীয়া	m ɔ t i a
থোৱা	tʰ ʊ a
পিতা	p i t a
কাহ	k aʱ
জলোৱা	z ɔ l ʊ a
গুটি	ɡ u t i
নকল	n ɔ k ɔ l
মোবাইল	m ʊ b a ɪ l
আঁকা	ã k a
এওঁ	ɛ ʊ̃
কেঁচুৱা	k ẽ s u a
অংক	ɔ ŋ k ɔ
কাঁড়	k ã ɹ
সিহঁতৰ	x iʱ ɔ̃ t ɔ ɹ
আধা	a dʱ a
লং	l ɔ ŋ
মিহলা	m i ɦ ɔ l a
মগু	m ɔ ɡ u
পোক	p ʊ k
পঠোৱা	p ɔ tʰ ʊ a
তেনেহলে	t ɛ n ɛ ɦ ɔ l ɛ
বান্দৰ	b a n d ɔ ɹ
পাকৈত	p a k o ɪ t
জাম	z a m
আঘোণ	a ɡʱ ʊ n
সিঁচা	x i s a
বৰদৈচিলা	b ɔ ɹ d o ɪ s i l a
দীঘ	d i ɡ
খোজা	kʰ ʊ z a
এওঁলোক	ɛ ʊ̃ l ʊ k
বিঘা	b i ɡʱ a
পাৰা	p a ɹ a
কাশ্মীৰ	k a s m i ɹ
বোল	b ʊ l
বেলি	b e l i
সালসলনি	x a l x ɒ l ɒ n i
নাঙল	n a ŋ ɔ l
লাজুকা	l a z u k a
গুহা	ɡ u ɦ a
মাথা	m a tʰ a
ঢকা	dʱ ɔ k a
চুটিগল্প	s u t i ɡ ɔ l p ɔ
জুপুৰি	z u p u ɹ i
বগোৱা	b ɔ ɡ ʊ a
নিয়ৰ	n i ɔ ɹ
টোকা	t ʊ k a
শালি	x a l i
পাণ	p a n
কামি	k a m i
বেজী	b e z i
জাপ	z a p
পশু	p ɔ x u
নিমখ	n i m ɔ kʰ
কপৌ	k ɔ p o ʊ
গৰীয়া	ɡ ɔ ɹ i a
চিঠি	s i tʰ i
থাইলেণ্ড	tʰ a ɪ l ɛ n d
বাঢ়ৈটোকা	b a ɹʱ o ɪ t ʊ k a
গোল	ɡ ʊ l
চিনাকী	s i n a k i
কোনোবা	k ʊ n ʊ b a
ডাক্তৰ	d a k t ɔ ɹ
কিয়	k i ɔ
পুথিভঁৰাল	p u tʰ i bʱ ɔ̃ ɹ a l
জগৰীয়া	z ɔ ɡ ɔ ɹ i a
গৌৰৱ	ɡ o ʊ ɹ ɔ w
সাজু	x a z u
দেৱনাগৰী	d ɛ w n a ɡ ɔ ɹ i
আচল	a s ɔ l
সুণীয়া	x u n i a
জাক	z a k
চকৰিফেঁটী	s ɔ k ɔ ɹ i pʰ ẽ t i
আদালত	a d a l ɔ t
ড়	ɾ ɔ
চিন	s i n
কোন	k ʊ n
চালনি	s a l ɔ n i
মহ	m ɔ ɦ
তলা	t ɔ l a
কুমলীয়া	k u m ɔ l i a
দেহা	d ɛ ɦ a
আঁচ	ã s
উমনি	u m ɔ n i
কইনা	k ɔ ɪ n a
আগতীয়াকৈ	a ɡ ɔ t i a k o ɪ
ভনী	bʱ o n i
ধৰ্ষণ	dʱ ɔ ɹ x ɔ n
বটা	b ɔ t a
শুধ	x u dʱ ɔ
মালিক	m a l i k
জান	z a n
শিঙৰি	x i ŋ ɔ ɹ i
ডাৱৰ	d a ɔ ɹ
চহী	s ɔ ɦ i
আন্দাজ	a n d a z
গাঁত	ɡ ã t
বাল	b a l
ভোক্তা	bʱ ʊ k t a
জলকীয়া	z ɔ l ɔ k i a
ঢাপ	dʱ a p
চকা	s ɔ k a
মাতা	m a t a
ছোৱা	s ʊ a
শিং	x i ŋ
আঠা	a tʰ a
উলুপী	u l u p i
পূৰঠ	p u ɹ ɔ tʰ
নীলা	n i l a
গোধাফুটুকী	ɡ ʊ dʱ a pʰ u t u k i
মৰম	m ɔ ɹ ɔ m
বিল	b i l
মোনা	m ʊ n a
জঙাই	z ɔ ŋ a ɪ
ছাগলী	s a ɡ ɔ l i
গম	ɡ ɔ m
পিয়াহ	p i aʱ
তোমাৰ	t ʊ m a ɹ
কোঁৱৰ	k ʊ̃ ɔ ɹ
ঠগা	tʰ ɔ ɡ a
পথাৰ	p ɔ tʰ a ɹ
ভোজ	bʱ ʊ z
ওলা	ʊ l a
সোঁত	x ʊ̃ t
মৰাঠাৰি	m ɔ ɹ a tʰ a ɹ i
ওজা	ʊ z a
ব’হাগ	b oʱ a ɡ
ভোক	bʱ ʊ k
ছিপ	s i p
লৰা	l ɔ ɹ a
টুট	t u t
সোঁ	x ʊ̃
চেলা	s ɛ l a
ফৰিং	pʰ ɔ ɹ i ŋ
খন্দা	kʰ ɔ n d a
মিঠালাউ	m i tʰ a l a u
দৌৰা	d o ʊ ɹ a
ওপঙা	ʊ p ɔ ŋ a
ধৰণ	dʱ ɔ ɹ ɔ n
সেমেকা	x ɛ m ɛ k a
গাঁঠি	ɡ ã tʰ i
বেঙেনা	b ɛ ŋ ɛ n a
ঘঁহা	ɡʱ ɔ̃ ɦ a
জ্বলোৱা	z ɔ l ʊ a
ভেড়া	bʱ ɛ ɹ a
বাট	b a t
জোপোহা	z ʊ p ʊ ɦ a
চল্লিছ	s ɔ l l i s
জেং	z ɛ ŋ
ভাটৌ	bʱ a t o ʊ
ফুটা	pʰ u t a
দাহ	d aʱ
বেং	b ɛ ŋ
চুৰিয়া	s u ɹ i a
দৰৱ	d ɒ ɹ ɒ β
কাঁহ	k ã ɦ
সোঁফালে	x ʊ̃ pʰ a l ɛ
তাঁতী	t ã t i
য়	j ɔ
দীঘলা	d i ɡʱ ɔ l a
সূৰ্য্য	x u i ɹ d ʑ ɒ
ধনিয়া	dʱ ɔ n i a
খুৰী	kʰ u ɹ i
পেট	p ɛ t
নমোৱা	n ɔ m ʊ a
বাছ	b a s
পাগুৰি	p a ɡ u ɹ i
নাটনি	n a t ɔ n i
কাঁহী	k ã ɦ i
ছাবিছ	s a b i s
কুটুম	k u t u m
ডবা	d ɔ b a
পোত	p ʊ t
